INP,CLS,TBT,LCP,PeakHeap
17.156,0,36.5,14685,67552828
18.875,0,37.5,14683,44302094
17.244,0,32.5,14683,54173313
16.182,0,29.5,14683,35767176
19.52,0,30.5,14683,54959133
16.315,0,35,14683,68649931
18.553,0,33,14683,42637410
18.712,0,33.5,14685,55349328
19.151,0,37.5,14684,50169802
20.726,0,35,14684,36347952
19.544,0,33,14683,54079863
19.848,0,31,14683,37925538
19.028,0,40,14683,57763586
19.08,0,32,14683,44416382
19.4,0,43,14684,49718414
18.872,0,30.5,14683,35118639
18.613,0,33.5,14683,55166028
19.255,0,34,14684,40006387
19.891,0,30.5,14683,61902806
17.192,0,30.5,14683,62952565
18.322,0,33.5,14684,54078343
20.24,0,35.5,14683,64500618
18.442,0,37,14684,40133228
20.185,0,31.5,14685,45547330
20.441,0,32.5,14683,54167152
17.721,0,33,14683,54175172
18.351,0,30.5,14684,46776064
18.071,0,30,14683,60681996
20.923,0,39.5,14685,49394440
21.613,0,35,14684,42376960
19.888,0,39.5,14684,42654338
19.328,0,30,14683,35419036
17.95,0,30.5,14683,62839256
20.125,0,37,14684,54808754
19.673,0,34,14683,51412310
20.57,0,30,14683,59628154
19.605,0,33.5,14683,40103315
19.082,0,35.5,14684,54547256
21.016,0,36,14686,42369554
17.404,0,38,14683,58415425
18.503,0,32,14683,58217000
19.083,0,34.5,14684,49398610
19.216,0,29.5,14683,61249802
20.149,0,33.5,14683,50957430
21.162,0,32.5,14683,58947711
17.317,0,36.5,14683,53589828
19.683,0,31.5,14684,59886134
21.003,0,33,14684,41966246
19.06,0,35,14683,70127860
18.941,0,32.5,14685,37340994
18.382,0,32,14683,46946510
18.956,0,32,14684,45495791
19.915,0,29.5,14683,58215362
17.429,0,30.5,14683,40746298
20.607,0,34.5,14683,50966614
19.879,0,32.5,14683,54043711
19.585,0,32.5,14684,61106006
18.525,0,29.5,14683,54024740
16.845,0,32,14683,54146672
18.849,0,33,14684,54167204
17.859,0,35.5,14683,54128468
20.155,0,36.5,14703,71548092
20.331,0,36,14684,53124662
18.568,0,32.5,14683,44158092
21.076,0,30,14683,55936370
19.818,0,30,14683,52463326
19.246,0,42,14684,35411792
19.386,0,33,14683,38564370
20.286,0,30.5,14683,64091852
18.191,0,34.5,14684,55594888
17.627,0,33,14683,70283311
17.909,0,34,14684,69571520
18.858,0,34,14683,39960118
18.18,0,33.5,14684,64875896
17.652,0,32,14684,55166017
17.85,0,32.5,14683,61267380
18.847,0,33.5,14683,56767211
19.311,0,36,14683,65269389
17.11,0,36.5,14684,52151242
19.171,0,32.5,14683,36814926
20.544,0,32,14683,63578293
17.861,0,34.5,14683,57783302
17.01,0,33.5,14684,47560064
17.43,0,32.5,14683,48612074
17.856,0,30.5,14683,60684494
17.335,0,30,14683,44737608
18.385,0,38.5,14685,64351157
19.853,0,32,14683,45989358
18.579,0,41,14686,54022580
17.493,0,40.5,14685,44593600
17.909,0,32.5,14684,62689496
20.008,0,30.5,14684,62178866
16.211,0,29.5,14684,63827490
17.779,0,35,14683,58569296
17.631,0,31,14683,53326376
18.227,0,33,14683,61266048
20.49,0,29,14683,54959782
18.917,0,34.5,14684,65047968
16.861,0,30.5,14684,56499675
