INP,CLS,TBT,LCP, PeakHeap
18.801,0,0,2363,43341765
18.224,0,0,2363,40200412
20.427,0,0,2363,41258814
19.506,0,0,2364,34644910
16.102,0,0,2363,49451062
16.662,0,0,2364,43760710
19.614,0,0,2365,29578153
20.502,0,0,2364,37700730
17.679,0,0,2364,37758190
19.889,0,0,2364,40233114
18.895,0,0,2366,52279198
20.868,0,0,2364,51477318
19.491,0,0,2363,57156306
19.812,0,0,2363,24923534
17.887,0,0,2365,36479382
16.98,0,0,2363,27397086
17.533,0,0,2363,47521486
19.895,0,0,2363,30117919
18.737,0,0,2364,39809172
17.948,0,0,2363,39272226
17.921,0,0,2364,39389736
18.519,0,0,2364,43434298
19.726,0,0,2364,37439198
18.311,0,0,2363,27796010
