INP,CLS,TBT,LCP,PeakHeap
19.987,0,214,138643,558139363
20.39,0,204,138645,205556225
19.561,0,222,138647,572882135
19.533,0,226.5,138643,208215879
17.981,0,225,138643,565347319
19.387,0,209.5,138644,197168505
15.873,0,207.5,138644,207392617
18.7,0,207,138643,201036397
19.613,0,222.5,138643,574132007
19.018,0,227,138643,546651791
17.734,0,221,138643,545272527
16.529,0,228,138643,560982131
20.298,0,232,138643,554122579
21.146,0,216,138643,559106971
18.432,0,231.5,138643,549756319
20.48,0,217,138646,575574047
23.815,0,219,138648,550549347
18.233,0,204,138645,207303635
20.132,0,225,138644,558906659
17.544,0,209.5,138643,195236319
19.612,0,227.5,138643,562063599
23.317,0,230,138644,549143675
20.602,0,225.5,138643,570521899
18.798,0,221.5,138643,547717727
23.637,0,221,138646,567667423
20.151,0,216.5,138643,229148157
16.206,0,218,138645,548709783
19.099,0,230,138644,567115135
18.194,0,222,138644,562124519
19.55,0,233.5,138644,546520623
20.057,0,216,138644,562778739
18.34,0,214.5,138643,228363017
18.817,0,210,138643,555698795
20.682,0,222,138644,566878475
19.814,0,221.5,138644,571160771
18.332,0,213.5,138643,563419555
17.107,0,234,138643,556352963
17.484,0,220,138643,574436451
19.435,0,225,138643,568689163
18.899,0,219,138643,574569143
17.392,0,222.5,138643,548680419
18.474,0,218.5,138643,204756541
16.375,0,221.5,138643,549626899
17.447,0,221.5,138643,221547989
21.025,0,197,138644,199530607
21.26,0,216,138643,566524439
23.905,0,211.5,138643,555953019
20.267,0,217.5,138643,199379017
22.17,0,222,138643,560631211
25.048,0,228,138643,566331063
23.207,0,221,138644,545299143
18.523,0,214,138643,544883375
19.704,0,218,138644,564695951
21.754,0,222,138643,554139731
16.938,0,223,138645,554126103
19.156,0,211,138644,555391759
19.339,0,225,138643,577711423
19.556,0,220.5,138643,545096431
20.998,0,216.5,138643,572087619
21.882,0,211.5,138647,557855071
19.376,0,213,138643,547134051
20.898,0,209,138645,555188223
17.767,0,212,138643,201536543
17.805,0,220.5,138645,544571023
17.817,0,208.5,138644,571210891
19.748,0,223,138644,559360463
22.073,0,219.5,138643,545155403
17.925,0,223,138643,197712643
17.121,0,215.5,138643,548503767
19.184,0,206,138643,214061689
15.35,0,216,138643,213094743
20.433,0,215.5,138643,562770759
23.567,0,220,138643,561550499
18.934,0,221,138643,560303631
20.669,0,210.5,138643,564696715
22.892,0,230,138643,575268283
20.796,0,208.5,138643,562336527
19.054,0,205,138643,210651957
17.257,0,214,138644,573518679
19.49,0,213.5,138649,545560439
22.98,0,210.5,138643,557098403
17.614,0,217.5,138643,546828023
17.79,0,206.5,138643,203590487
17.04,0,224,138644,545098039
21.711,0,217,138643,547137363
19.863,0,213,138644,549469799
20.821,0,196.5,138645,210018041
20.783,0,219.5,138643,568367099
16.014,0,204,138644,203895287
18.517,0,233.5,138645,563124039
23.672,0,215.5,138643,568886491
19.465,0,205,138643,205902595
20.956,0,209,138643,561459347
18,0,218.5,138643,548095927
18.388,0,209,138644,548531471
16.917,0,207.5,138645,554272431
18.316,0,216,138643,566505231
19.02,0,211,138644,576291383
18.897,0,220.5,138643,566909179
17.747,0,208.5,138644,577077583
