INP,CLS,TBT,LCP,PeakHeap
21.475,0,283,138573,200943339
21.728,0,274.5,138573,207153334
20.555,0,289.5,138573,203494216
18.854,0,259.5,138573,202134893
19.48,0,280.5,138572,201092409
20.646,0,292.5,138573,196092806
19.263,0,274.5,138573,199552072
18.668,0,276,138573,206827901
20.065,0,287.5,138573,208852529
20.637,0,279.5,138573,218637658
19.487,0,287,138573,205890189
18.028,0,279,138573,201446518
19.279,0,285.5,138573,203630365
20.092,0,285,138573,205645082
19.554,0,274.5,138573,205260389
18.484,0,278,138573,200486719
18.613,0,266.5,138573,211383284
19.538,0,280,138573,196565117
20.019,0,285.5,138573,195582534
19.639,0,271,138573,210959450
21.338,0,273,138573,210137499
18.99,0,272.5,138573,203086415
17.709,0,273,138573,205635937
19.467,0,265,138573,213347887
19.498,0,292,138573,213478885
19.002,0,283,138573,193090873
21.001,0,287,138573,212538771
19.044,0,287,138573,193680790
20.008,0,288.5,138573,198853364
20.636,0,275,138574,206250209
19.498,0,279,138573,197722586
19.054,0,281,138573,213392206
24.05,0,283,138573,206415978
20.347,0,302,138573,203246339
19.846,0,288,138573,205300573
18.066,0,292.5,138573,200448212
19.093,0,287.5,138573,206721660
19.404,0,287.5,138573,193596455
19.163,0,295,138573,204066774
20.206,0,286,138573,222498086
19.696,0,287.5,138573,212165176
19.061,0,296.5,138573,196003881
20.812,0,285.5,138573,198577729
18.657,0,272.5,138572,206687068
19.157,0,286.5,138573,207336097
21.344,0,282.5,138573,203664398
18.063,0,279,138573,210181462
19.266,0,282,138573,196095351
20.762,0,284,138573,204160482
20.76,0,280.5,138573,193724965
18.238,0,281.5,138573,205946417
19,0,269.5,138573,206707267
19.106,0,288,138573,202091370
18.106,0,272,138572,208669686
19.37,0,271,138573,209133048
18.355,0,280,138573,202709613
20.379,0,279.5,138573,196600956
19.686,0,283.5,138573,208390521
20.135,0,274.5,138573,210532401
20.642,0,268,138573,210528849
18.67,0,275,138573,203454862
18.116,0,280.5,138573,211788745
18.302,0,288.5,138573,205404054
18.97,0,277.5,138573,198252287
21.009,0,274,138573,197545956
19.015,0,269.5,138573,200479583
19.508,0,279,138573,214563485
19.202,0,291.5,138573,204059054
20.457,0,264.5,138573,205353233
17.826,0,286.5,138573,212371757
21.079,0,276,138573,195173824
20.821,0,280,138573,196751871
19.468,0,269.5,138573,201267805
17.955,0,273,138573,202523087
19.022,0,274.5,138573,198896834
18.049,0,277.5,138573,205106774
20.689,0,274.5,138573,215555485
20.753,0,274,138573,199207033
18.05,0,290.5,138573,198281168
20.307,0,283.5,138573,198446086
20.72,0,270,138573,203067858
19.518,0,267.5,138573,205486171
20.689,0,274,138573,204413706
20.875,0,271.5,138573,198683089
20.589,0,259.5,138572,198122034
19.37,0,272,138573,206596637
19.22,0,288.5,138573,205140145
19.198,0,270.5,138572,208795092
20.653,0,275,138573,205305516
18.934,0,289,138573,205353337
19.067,0,273.5,138573,198849459
18.254,0,272,138573,206185644
19.526,0,268,138573,203307111
18.449,0,277,138573,207035486
20.394,0,276.5,138573,201980574
20.613,0,282.5,138573,198783431
20.371,0,287,138573,194732406
18.578,0,285.5,138573,215156871
18.59,0,274.5,138573,210330737
19.589,0,277.5,138573,201808527
