INP,CLS,TBT,LCP,PeakHeap
20.981,0,0,885.133,20905369
21.578,0,0,1013,46765731
19.547,0,0,1013,34898141
21.098,0,0,1013,45118511
20.022,0,0,1013,47419484
17.856,0,0,1013,33312800
21.064,0,0,1013,33660192
16.272,0,0,1013,40398495
19.402,0,0,1013,33268130
21.206,0,0,1013,51553788
19.185,0,0,1013,29750642
18.454,0,0,1013,48991905
20.97,0,0,1013,41634586
18.02,0,0,1013,45136936
17.428,0,0,1013,39320361
20.243,0,0,1013,43802979
16.993,0,0,1013,40688502
21.496,0,0,1013,33253741
21.197,0,0,1013,40676022
17.652,0,0,1013,45629757
19.612,0,0,1012,23262688
20.03,0,0,1013,35040747
18.571,0,0,1013,29866284
14.8,0,0,1013,49359401
20.268,0,0,1013,39060992
16.829,0,0,1013,28867629
20.476,0,0,1013,24990235
20.902,0,0,1013,40244440
15.757,0,0,1013,28150116
19.774,0,0,1013,39613464
18.023,0,0,1013,36755797
16.943,0,0,1013,42459428
18.334,0,0,1013,19481433
19.247,0,0,1013,42869587
19.689,0,0,1013,39903097
20.301,0,0,1013,38878668
21.287,0,0,1013,39490660
17.729,0,0,1013,39902661
19.185,0,0,1013,30078913
18.803,0,0,1013,20126335
18.203,0,0,1013,35320141
16.821,0,0,1013,29793382
21.356,0,0,1013,36155054
17.903,0,0,1013,24245220
17.848,0,0,1013,48873283
18.482,0,0,1013,36276416
19.596,0,0,1013,43510381
17.941,0,0,1013,34584407
18.915,0,0,1013,43395688
19.452,0,0,1012,40762825
16.239,0,0,1013,25499367
20.325,0,0,1013,50839632
21.227,0,0,1013,40657598
16.502,0,0,1013,30865320
18.175,0,0,1013,40132781
19.251,0,0,1013,32699696
19.075,0,0,1013,17645841
18.584,0,0,1013,46280867
17.746,0,0,1013,38051644
18.126,0,0,1012,31913884
18.008,0,0,1013,27878113
18.003,0,0,1013,36436202
19.879,0,0,1013,32880205
18.051,0,0,1013,38632824
18.432,0,0,1012,45840323
20.14,0,0,1013,46638205
16.807,0,0,1013,46021006
18.806,0,0,1014,44007951
20.982,0,0,1013,31538473
20.267,0,0,1013,26266173
21.142,0,0,1013,34111024
19.018,0,0,1013,18637408
20.03,0,0,1013,35573209
17.95,0,0,1013,36632545
17.76,0,0,1013,21910870
19.517,0,0,1013,20904592
18.807,0,0,1013,43053311
19.179,0,0,1013,26500928
18.883,0,0,1013,31144800
20.706,0,0,1013,39814315
18.645,0,0,1013,43248388
19.948,0,0,1013,43616480
20.329,0,0,1013,40643898
18.009,0,0,1013,37123350
21.13,0,0,1013,24767883
19.925,0,0,1013,35782363
21.33,0,0,1013,41072301
19.881,0,0,1013,19811413
21.062,0,0,1013,48787419
19.25,0,0,1013,26693439
21.292,0,0,1014,45120318
18.145,0,0,1013,20932290
18.726,0,0,1013,29443299
17.362,0,0,1013,45848418
19.251,0,0,1013,21691532
17.938,0,0,1013,29386730
18.314,0,0,1013,40690219
17.758,0,0,1013,34499994
20.541,0,0,1013,43710139
