INP,CLS,TBT,LCP,PeakHeap
20.693,0,0,2139,28599969
17.665,0,0,2139,32329221
19.892,0,0,2139,23465037
19.995,0,0,2139,37307525
17.769,0,0,2142,37455569
20.825,0,0,2140,25662765
18.677,0,0,2139,46190974
16.739,0,0,2139,46309201
19.021,0,0,2139,39438925
19.335,0,0,2139,41585465
19.322,0,0,2139,25648837
20.082,0,0,2139,30317301
20.753,0,0,2139,35738653
18.371,0,0,2139,35884493
19.6,0,0,2141,52253492
17.785,0,0,2139,38650653
19.007,0,0,2139,22657941
19.53,0,0,2140,52429932
19.891,0,0,2139,40304066
17.672,0,0,2139,47454224
21.401,0,2,2142,44861760
16.929,0,0,2139,29271413
18.276,0,0,2139,34715250
17.582,0,0,2139,44271597
17.429,0,0,2139,40021749
19.149,0,0,2139,52578796
20.269,0,0,2139,40876845
19.653,0,0,2140,36073225
20.487,0,0,2140,54003960
20.282,0,0,2139,43508446
19.119,0,0,2139,34681801
19.695,0,0,2139,47271205
17.198,0,0,2139,27349965
19.003,0,0,2139,21411229
19.661,0,0,2139,38654481
19.51,0,0,2141,30491633
19.701,0,0,2139,35391062
20.22,0,0,2139,34250965
18.798,0,0,2139,30661186
20.493,0,0,2139,35276717
20.778,0,0,2139,47268113
18.508,0,0,2139,27873241
19.498,0,0,2139,27696241
18.163,0,0,2139,36285246
21.029,0,0,2139,50421512
16.497,0,0,2139,36462405
21.141,0,0,2139,47877529
18.121,0,0,2139,46138368
20.753,0,0,2139,30096294
19.35,0,0,2139,32478757
21.382,0,0,2139,33117769
19.803,0,0,2139,51010076
20.247,0,0,2139,25862477
20.911,0,0,2139,27813817
20.753,0,0,2139,30265253
19.852,0,0,2140,34628769
20.236,0,0,2141,25666453
19.422,0,0,2139,35099037
17.534,0,0,2141,43884706
21.141,0,0,2140,34511197
20.455,0,0,2139,43472053
18.875,0,0,2139,40920801
21.09,0,0,2140,30638881
16.279,0,0,2139,25664961
19.399,0,0,2140,34458881
18.291,0,0,2139,34512637
19.867,0,0,2139,45058293
19.746,0,0,2139,23882377
18.352,0,0,2139,22663489
16.333,0,0,2139,21344275
20.632,0,0,2140,39142093
20.625,0,0,2139,36870697
18.523,0,0,2142,46045065
20.447,0,0,2139,25396765
19.021,0,0,2139,39290377
18.849,0,0,2140,46897380
18.877,0,0,2139,34513865
18.715,0,0,2139,27030021
20.662,0,0,2139,46424997
18.264,0,0,2139,44271821
16.778,0,0,2139,52256116
18.671,0,0,2139,38186749
19.173,0,0,2139,29855797
17.085,0,0,2139,27695097
17.075,0,0,2139,47072844
17.349,0,0,2139,51996048
16.183,0,0,2140,34893077
20.394,0,0,2139,42287225
19.054,0,0,2139,31104185
17.807,0,0,2139,44754118
19.443,0,0,2139,29272713
18.021,0,0,2139,38035481
17.075,0,0,2139,25660929
19.018,0,0,2140,28225641
18.294,0,0,2139,21411349
19.112,0,0,2141,27697793
17.861,0,0,2139,44865558
19.286,0,0,2139,31836089
17.773,0,0,2139,39692706
18.913,0,0,2139,54005132
