INP,CLS,TBT,LCP,PeakHeap
18.982,0,1950,138439,852939148
21.196,0,1910,138439,840019103
18.927,0,1968,138439,844748979
19.483,0,1901,138439,850216077
19.718,0,1932,138441,831702194
19.848,0,1949.5,138440,841461192
17.758,0,1922,138440,869990386
17.475,0,1965,138439,849897472
21.212,0,1895,138439,840324650
21.2,0,1998,138442,800247816
19.526,0,1922,138439,850016766
21.197,0,1937,138439,826682690
17.948,0,1908,138439,834870998
20.316,0,1878,138439,842554270
18.131,0,1951,138439,823155507
18.687,0,1969,138439,832292257
18.858,0,1932,138440,829551461
19.004,0,2152,138439,846641870
18.547,0,1974,138440,819807268
18.156,0,1973,138441,866038790
20.611,0,2010,138439,855434020
18.396,0,1956,138439,824195614
18.99,0,1970,138439,838706507
19.109,0,1899,138439,837676679
21.075,0,1999,138439,826986556
20.43,0,1892,138439,812848290
19.788,0,2013,138439,867851350
18.138,0,1980,138439,841396479
21.489,0,1940,138439,854970943
18.153,0,2005,138440,837983783
21.41,0,1979,138439,820988347
19.631,0,1894,138439,829893283
20.252,0,1987,138439,843586076
18.017,0,1871,138440,824896507
21.249,0,1880,138439,852447190
20.367,0,2068,138439,853796761
20.112,0,1924,138439,852474855
20.281,0,1986,138439,868810578
20.546,0,2030,138440,848404814
20.024,0,1955,138439,828314409
17.716,0,1935,138439,823497231
17.555,0,1909,138439,844001919
21.196,0,1895,138439,846342691
20.189,0,2045,138439,850369175
18.826,0,1965,138440,860815356
17.794,0,2015,138440,812289275
18.051,0,1997,138439,836154892
19.301,0,2183,138439,853893116
19.005,0,1986,138441,822507137
19.742,0,1862,138439,842900115
18.252,0,1889,138439,853297334
21.021,0,1960,138439,816573504
21.107,0,1986,138439,830188900
19.787,0,1954,138439,810322112
19.378,0,1999,138441,847944270
17.532,0,2056,138439,812731530
21.027,0,1995,138439,815882484
18.032,0,2085,138439,838571035
20.232,0,1879,138439,847590038
21.097,0,1947,138443,800195679
20.586,0,1928,138439,836452791
21.531,0,2086,138439,825360799
21.338,0,1894,138439,836459538
19.369,0,1961,138439,831063144
19.669,0,1957,138439,800190975
19.445,0,1987,138439,825233072
18.037,0,1900,138439,842824781
20.306,0,1999,138439,830801465
20.315,0,1899,138440,839791319
17.007,0,1974,138439,829577728
17.788,0,1877,138442,837152737
18.444,0,1898,138439,847610926
18.129,0,1909,138440,841962555
18.059,0,2011,138439,819458395
19.914,0,1883,138439,845980287
21.068,0,1991,138439,830804324
21.513,0,1908,138439,850613397
20.261,0,2079,138439,844275578
18.61,0,1961,138439,826148660
19.593,0,2027,138439,867819315
21.28,0,1934,138440,849952544
19.519,0,1934,138439,837445566
21.139,0,1967,138439,838237813
17.345,0,1925,138439,848724389
17.313,0,1934,138439,854046386
18.018,0,1920,138439,851450849
20.542,0,1911,138439,826214100
18.176,0,1968,138441,806904555
18.013,0,1991,138439,854405686
19.638,0,1940,138441,839056469
20.406,0,1866,138439,825937356
19.799,0,1909,138440,845767845
18.16,0,2104,138440,828065849
21.107,0,1965,138440,839329039
18.87,0,1941,138439,825093991
19.302,0,1967,138439,847129391
19.236,0,1951,138439,862085928
18.275,0,1898,138440,824954282
19.115,0,1908,138439,827881955
18.874,0,2045,138438,831684137
