INP,CLS,TBT,LCP, PeakHeap
18.695,0,0,989.5,18493613
20.51,0,0,989.5,22639484
17.103,0,0,1029.5,40643316
20.3,0,0,991,39782882
17.882,0,0,989.5,26049076
17.488,0,0,989.5,41692567
19.672,0,0,989.5,25575899
21.319,0,0,990,20013756
16.474,0,0,989.5,52674604
20.802,0,0,989.5,21187310
18.279,0,0,989.5,32837570
18.551,0,0,990,40349661
16.473,0,0,989.5,19215134
16.933,0,0,990.5,33806671
20.35,0,0,989.5,31927844
19.653,0,0,990,48000575
17.643,0,0,991.5,18624424
18.97,0,0,989.5,38617908
18.772,0,0,989.5,25619646
19.879,0,0,990,27191751
16.41,0,0,1029.5,25247954
21.668,0,0,885.8295,17652884
15.438,0,0,989.5,32096985
16.918,0,0,990,49248520
19.03,0,0,989.5,31346650
16.237,0,0,989.5,21743455
19.599,0,0,989.5,41051144
16.124,0,0,989.5,20448252
18.791,0,0,990,23070632
20.662,0,0,989.5,25578172
15.814,0,0,990.5,26098078
15.832,0,0,990,24084921
21.71,0,0,989.5,41906301
17.369,0,0,989.5,37060592
19.188,0,0,989.5,46110473
21.142,0,0,989.5,34453251
18.508,0,0,990.5,21589796
20.402,0,0,989.5,26655894
21.014,0,0,989.5,32862924
18.816,0,0,989.5,22036555
16.6,0,0,989.5,23601688
17.835,0,0,990,46662706
17.999,0,0,991,33448432
16.197,0,0,989.5,41279053
16.844,0,0,989.5,26621650
16.576,0,0,989.5,21056512
15.692,0,0,990,39411668
20.47,0,0,1029.5,26057278
21.18,0,0,989.5,39920221
18.836,0,0,1030,41285320
18.99,0,0,990.5,37055608
20.477,0,0,989.5,17645992
21.755,0,0,990.5,23574469
18.476,0,0,989.5,25881587
18.382,0,0,989.5,36780624
17.561,0,0,990,34201284
17.132,0,0,989.5,50106427
18.355,0,0,989.5,45965254
17.811,0,0,990,22440316
19.115,0,0,989.5,40462164
18.808,0,0,989.5,37229480
21.08,0,0,990,40498001
18.095,0,0,989.5,35218602
20.879,0,0,989.5,28116712
20.754,0,0,990,36216506
18.026,0,0,989.5,37366518
19.202,0,0,1029,22650928
19.231,0,0,990,27525894
20.945,0,0,989.5,31992615
18.136,0,0,989.5,23155803
18.412,0,0,990,27805046
17.499,0,0,989.5,24011300
20.385,0,0,989.5,46755831
17.091,0,0,989.5,41281477
17.165,0,0,990,21568990
20.369,0,0,990,52197039
18.395,0,0,989.5,20462500
21.671,0,0,989.5,43486443
17.879,0,0,989.5,33644824
19.584,0,0,989.5,42963389
17.255,0,0,990.5,41131005
17.185,0,0,989.5,46108373
18.407,0,0,989.5,32677814
19.061,0,0,989.5,45987671
19.783,0,0,989.5,15886808
20.947,0,0,989.5,28206376
17.869,0,0,989.5,39241883
18.888,0,0,989.5,42064898
18.693,0,0,990,41917261
18.168,0,0,989.5,34226748
20.928,0,0,989.5,20450252
18.835,0,0,990.5,16405584
18.85,0,0,989.5,18883104
17.346,0,0,989.5,26941628
20.499,0,0,989.5,40155571
19.763,0,0,989.5,40345513
19.952,0,0,990,30239012
20.438,0,0,1030,21065928
16.168,0,0,989.5,40642204
18.009,0,0,990,41288021
